Identifier,Company Name,Country of Exchange,"Debt to Equity Ratio (DER)
TRUS.JK,Trust Finance Indonesia Tbk PT,Indonesia, 0.01 , 0.09 , 0.02 , 0.03 , 0.03 
TSPC.JK,Tempo Scan Pacific Tbk PT,Indonesia, 0.09 , 0.14 , 0.19 , 0.14 , 0.11 
ULTJ.JK,Ultrajaya Milk Industry & Trading Company Tbk PT,Indonesia, 0.01 , 0.00 , 0.10 , 0.30 , 0.64 
UNIC.JK,Unggul Indah Cahaya Tbk PT,Indonesia, 0.02 , 0.02 , 0.01 , 0.02 , 0.02 
UNIT.JK,Nusantara Inti Corpora Tbk PT,Indonesia, 0.68 , 0.70 , 0.73 , 0.75 , 0.87 
UNSP.JK,Bakrie Sumatera Plantations Tbk PT,Indonesia,,,,,
UNTR.JK,United Tractors Tbk PT,Indonesia, 0.21 , 0.22 , 0.03 , 0.13 , 0.20 
UNVR.JK,Unilever Indonesia Tbk PT,Indonesia, 0.92 , 0.22 , 0.32 , 0.63 , 0.81 
VOKS.JK,Voksel Electric Tbk PT,Indonesia, 1.06 , 1.35 , 1.20 , 1.34 , 0.95 
WAPO.JK,Wahana Pronatural Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 ,
WEHA.JK,WEHA Transportasi Indonesia Tbk PT,Indonesia, 0.38 , 0.41 , 0.35 , 0.67 , 0.67 
WICO.JK,Wicaksana Overseas International Tbk PT,Indonesia,, 22.80 , 10.98 , 1.91 , 0.28 
WIKA.JK,Wijaya Karya (Persero) Tbk PT,Indonesia, 2.99 , 3.86 , 1.91 , 1.63 , 1.58 
WOMF.JK,Wahana Ottomitra Multiartha Tbk PT,Indonesia, 2.46 , 2.67 , 2.51 , 2.63 , 3.13 
YPAS.JK,Yanaprima Hastapersada Tbk PT,Indonesia, 0.73 , 0.55 , 0.77 , 0.49 , 0.57 
YULE.JK,Yulie Sekuritas Indonesia Tbk PT,Indonesia, 0.01 , 0.00 , 0.00 ,, -   
ZBRA.JK,Dosni Roha Indonesia Tbk PT,Indonesia, 0.99 , 0.99 , 0.83 ,,
KOPI.JK,Mitra Energi Persada Tbk PT,Indonesia, 1.90 , 1.31 , 0.85 , 0.21 , 0.24 
ABFII.JK,Reksa Dana Abf Indonesia Bond,Indonesia,,,,,
GZCO.JK,PT Gozco Plantations Tbk,Indonesia, 0.32 , 0.40 , 0.31 , 0.47 , 0.62 
KOIN.JK,Kokoh Inti Arebama Tbk PT,Indonesia,,, 5.00 , 0.45 , 0.10 
TPIA.JK,Chandra Asri Pacific PT Tbk,Indonesia, 0.68 , 0.58 , 0.52 , 0.37 , 0.47 
BSDE.JK,Bumi Serpong Damai Tbk PT,Indonesia, 0.31 , 0.29 , 0.31 , 0.33 , 0.50 
INDY.JK,Indika Energy Tbk PT,Indonesia, 0.79 , 0.79 , 0.82 , 1.65 , 1.96 
VRNA.JK,Mizuho Leasing Indonesia Tbk PT,Indonesia, 3.19 , 2.62 , 2.45 , 2.59 , 3.10 
PDES.JK,Destinasi Tirta Nusantara Tbk PT,Indonesia, 1.85 , 2.09 , 4.41 , 5.04 , 1.71 
ADRO.JK,Alamtri Resources Indonesia Tbk PT,Indonesia, 0.11 , 0.19 , 0.24 , 0.36 , 0.38 
HOME.JK,Hotel Mandarine Regency Tbk PT,Indonesia, 0.14 , 0.29 , 0.19 , 0.13 , 0.09 
KBRI.JK,Kertas Basuki Rachmat Indonesia Tbk PT,Indonesia, 4.38 , 2.37 , 1.69 , 1.57 , 0.81 
BYAN.JK,Bayan Resources Tbk PT,Indonesia, 0.15 , 0.20 , -   , -   , 0.46 
TRAM.JK,Trada Alam Minera Tbk PT,Indonesia, 2.20 , 1.24 , 0.39 , 0.98 , 13.22 
AMRT.JK,Sumber Alfaria Trijaya Tbk PT,Indonesia, 0.11 , 0.12 , 0.27 , 0.33 , 0.52 
TRIO.JK,Trikomsel Oke Tbk PT,Indonesia,,,,,
BPFI.JK,Woori Finance Indonesia Tbk PT,Indonesia, 0.77 , 0.70 , 0.31 , 0.35 , 0.65 
GTBO.JK,Garda Tujuh Buana Tbk PT,Indonesia, 0.01 , 0.03 ,,,
MKPI.JK,Metropolitan Kentjana Tbk PT,Indonesia, 0.00 , -   , 0.05 , 0.15 , 0.16 
BWPT.JK,Eagle High Plantations Tbk PT,Indonesia, 1.81 , 2.33 , 3.44 , 3.52 , 2.14 
DSSA.JK,Dian Swastatika Sentosa Tbk PT,Indonesia, 0.63 , 0.47 , 0.53 , 0.36 , 0.46 
BCIP.JK,Bumi Citra Permai Tbk PT,Indonesia, 0.04 , 0.05 , 0.00 , 0.00 , 0.20 
NIKL.JK,Pelat Timah Nusantara Tbk PT,Indonesia, 1.13 , 1.05 , 1.60 , 1.32 , 1.14 
BBTN.JK,Bank Tabungan Negara (Persero) Tbk PT,Indonesia, 1.50 , 1.68 , 1.65 , 2.02 , 2.49 
GDST.JK,Gunawan Dianjaya Steel Tbk PT,Indonesia, 0.79 , 0.44 , 0.37 , 0.24 , 0.20 
EMTK.JK,Elang Mahkota Teknologi Tbk PT,Indonesia, 0.03 , 0.03 , 0.03 , 0.02 , 0.25 
PTPP.JK,Pembangunan Perumahan (Persero) Tbk PT,Indonesia, 1.44 , 1.30 , 1.39 , 1.37 , 1.33 
BIPI.JK,Pt Astrindo Nusantara Infrastruktur Tbk,Indonesia, 1.16 , 1.30 , 0.71 , 0.83 , 0.99 
TOWR.JK,Sarana Menara Nusantara Tbk PT,Indonesia, 2.73 , 2.72 , 3.12 , 3.90 , 1.98 
NINE.JK,Techno9 Indonesia PT Tbk,Indonesia, 0.05 , 0.04 , 0.05 , 0.15 , 8.49 
MMIX.JK,Multi Medika Internasional Tbk PT,Indonesia, 1.07 , 0.72 , 0.00 , 0.02 , -   
ISAP.JK,Isra Presisi Indonesia PT Tbk,Indonesia, 0.03 , 0.04 , 0.05 , 3.14 , 3.01 
PADA.JK,Personel Alih Daya Tbk PT,Indonesia, 0.58 , 0.71 , 0.85 , 1.08 , 0.93 
VTNY.JK,Venteny Fortuna International Tbk PT,Indonesia, 1.39 , 1.25 , 0.84 , 6.07 ,
SOUL.JK,Mitra Tirta Buwana PT Tbk,Indonesia, 0.06 , 0.05 , -   , 3.28 ,
ELIT.JK,Data Sinergitama Jaya Tbk PT,Indonesia, 0.12 , 0.21 , 0.13 , 0.62 , 1.81 
BEER.JK,Jobubu Jarum Minahasa PT Tbk,Indonesia, 0.06 , 0.04 , 0.19 , 0.08 , 0.38 
CBRE.JK,Cakra Buana Resources Energi PT Tbk,Indonesia, 1.40 , 1.07 , 0.35 , 0.24 ,
CBPE.JK,PT Citra Buana Prasida Tbk,Indonesia, 0.07 , 0.13 , 0.26 , 0.37 , 0.56 
SUNI.JK,Sunindo Pratama PT Tbk,Indonesia, 0.14 , 0.12 , 0.02 , 0.03 , 0.04 
WINE.JK,PT Hatten Bali PT Tbk,Indonesia, 0.35 , 0.31 , 0.88 , 1.01 , 0.75 
BMBL.JK,Lavender Bina Cendikia PT Tbk,Indonesia, 0.03 , 0.02 , 0.06 , 0.23 , 0.65 
PEVE.JK,Penta Valent Tbk PT,Indonesia, 0.64 , 0.34 , 0.41 , 0.26 , 0.21 
LAJU.JK,PT Jasa Berdikari Logistics Tbk,Indonesia, 0.74 , 0.36 , 1.04 , 1.34 , 2.06 
FWCT.JK,Wijaya Cahaya Timber Tbk PT,Indonesia, 0.50 , 0.54 , 0.79 , 0.27 , 0.54 
IRSX.JK,Aviana Sinar Abadi PT Tbk,Indonesia, 0.00 , 0.00 , -   , 0.02 , 0.04 
NAYZ.JK,Hassana Boga Sejahtera PT Tbk,Indonesia, 0.01 , 0.01 , 0.16 , 0.04 , 1.04 
CHIP.JK,Pelita Teknologi Global PT Tbk,Indonesia, 0.20 , 0.22 , 1.18 , 1.52 ,
HALO.JK,Haloni Jane Tbk PT,Indonesia, 0.00 , 0.10 , 1.44 ,,
VAST.JK,Vastland Indonesia PT Tbk,Indonesia, 0.25 , 0.20 , 0.11 , 0.14 , 0.74 
PACK.JK,Abadi Nusantara Hijau Investama Tbk PT,Indonesia, 0.05 , 0.18 , 2.68 , 6.46 ,
FUTR.JK,PT Futura Energi Global Tbk,Indonesia, 0.06 , 0.00 , 0.02 , -   ,
PTMP.JK,Mitra Pack PT Tbk,Indonesia, 0.23 , 0.29 , 0.45 , 0.21 , 0.41 
BDKR.JK,Berdikari Pondasi Perkasa Tbk PT,Indonesia, 0.44 , 0.42 , 0.39 , 0.46 , 0.41 
CUAN.JK,PT Petrindo Jaya Kreasi Tbk,Indonesia, 1.44 , 0.61 , -   , 0.19 , 0.52 
SAGE.JK,PT Saptausaha Gemilangindah Tbk,Indonesia, 0.08 , 0.05 , 0.07 , 0.11 , 0.07 
TRON.JK,Teknologi Karya Digital Nusa PT Tbk,Indonesia, 0.20 , 0.11 , 0.08 , 0.05 , 0.39 
NSSS.JK,PT Nusantara Sawit Sejahtera Tbk,Indonesia, 1.46 , 1.98 , 3.34 , 3.85 , 7.10 
GTRA.JK,Grahaprima Suksesmandiri Tbk PT,Indonesia, 1.79 , 2.15 , 2.33 , 3.09 , 7.08 
HAJJ.JK,Arsy Buana Travelindo Tbk PT,Indonesia, 0.68 , 0.11 , 0.04 , 0.00 , -   
PIPA.JK,PT Multi Makmur Lemindo Tbk,Indonesia, 0.13 , 0.18 , 0.63 , 48.28 ,
NCKL.JK,PT Trimegah Bangun Persada Tbk,Indonesia, 0.30 , 0.30 , 0.68 , 0.69 , 0.97 
AWAN.JK,PT Era Digital Media Tbk,Indonesia, 0.01 , 0.01 , 0.11 , 0.14 , 0.44 
MENN.JK,Menn Teknologi Indonesia Tbk PT,Indonesia, -   , 0.01 , 0.05 ,,
MBMA.JK,Merdeka Battery Materials Tbk PT,Indonesia, 0.29 , 0.21 , 0.39 , -   , -   
TYRE.JK,King Tire Indonesia Tbk PT,Indonesia, 0.57 , 0.39 , 0.64 , 0.72 , 0.41 
DOOH.JK,Era Media Sejahtera Tbk PT,Indonesia, -   , 0.00 , 0.01 ,,
RAAM.JK,Tripar Multivision Plus Tbk PT,Indonesia, 0.22 , 0.10 , 0.16 , 0.27 , 0.26 
JATI.JK,Informasi Teknologi Indonesia Tbk PT,Indonesia, 0.12 , 0.16 , 0.08 , 0.18 , 0.02 
MPXL.JK,MPX Logistics International Tbk PT,Indonesia, 0.99 , 0.56 , 0.26 , 0.41 , 1.67 
SMIL.JK,Sarana Mitra Luas Tbk PT,Indonesia, 0.44 , 0.21 , 0.39 , 0.35 , 0.54 
MAXI.JK,Maxindo Karya Anugerah Tbk PT,Indonesia, 0.65 , 0.22 , 0.35 , 0.52 , 0.73 
KLAS.JK,Pelayaran Kurnia Lautan Semesta Tbk PT,Indonesia, 0.53 , 0.53 , 0.91 , 1.81 , 2.19 
VKTR.JK,VKTR Teknologi Mobilitas Tbk PT,Indonesia, 0.11 , 0.04 , 0.69 , 0.36 , 0.57 
RELF.JK,Graha Mitra Asia Tbk PT,Indonesia, 0.14 , 0.14 , 0.14 , 0.13 ,
AMMN.JK,Amman Mineral Internasional Tbk PT,Indonesia, 0.82 , 0.69 , 0.50 , 0.74 , 0.87 
TGUK.JK,Platinum Wahab Nusantara Tbk PT,Indonesia, 0.10 , 0.03 , 0.03 , -   , -   
GRPM.JK,Graha Prima Mentari Tbk PT,Indonesia, 0.29 ,,,,
WIDI.JK,PT Widiant Jaya Krenindo Tbk,Indonesia, 0.01 , 0.03 , 0.29 , 0.23 ,
CRSN.JK,Carsurin Tbk PT,Indonesia, 0.38 , 0.25 , 0.21 , 0.21 , 0.38 
INET.JK,Sinergi Inti Andalan Prima Tbk PT,Indonesia, 0.01 , 0.01 , 0.01 , 0.22 , 0.26 
MAHA.JK,Mandiri Herindo Adiperkasa Tbk PT,Indonesia, 0.20 , 0.22 , 0.13 , 0.10 , 0.08 
CNMA.JK,Nusantara Sejahtera Raya Tbk PT,Indonesia, 0.36 , 0.34 , 1.25 , 0.42 , 0.33 
RMKO.JK,PT Royaltama Mulia Kontraktorindo Tbk,Indonesia, 0.85 , 1.06 , 0.58 , 0.28 , -   
HBAT.JK,Minahasa Membangun Hebat Tbk PT,Indonesia, 0.04 , 0.00 , 0.02 , 0.52 ,
PPRI.JK,Paperocks Indonesia Tbk PT,Indonesia, 0.06 , 0.08 , 0.19 , 0.48 , 0.80 
FOLK.JK,Multi Garam Utama Tbk PT,Indonesia, 0.01 , 0.01 , 0.02 , 0.24 , 0.08 
CYBR.JK,PT ITSEC Asia Tbk,Indonesia, 0.44 , 0.25 ,,,
LMAX.JK,Lupromax Pelumas Indonesia Tbk PT,Indonesia, 0.16 , 0.17 , 0.64 , 0.61 ,
HUMI.JK,Humpuss Maritim Internasional Tbk PT,Indonesia, 0.53 , 0.44 , 0.27 , 0.89 , 0.87 
MUTU.JK,Mutuagung Lestari Tbk PT,Indonesia, 0.21 , 0.20 , 0.65 , 0.43 , 0.71 
GRIA.JK,PT Ingria Pratama Capitalindo Tbk,Indonesia, 0.15 , 0.18 , 1.68 , 2.54 , 4.16 
ERAL.JK,Sinar Eka Selaras PT,Indonesia, 0.13 , 0.07 , 0.10 , 0.05 , 0.70 
MSIE.JK,Pt Multisarana Intan Eduka Tbk,Indonesia, 0.07 , 0.08 , -   , 0.06 ,
RSCH.JK,Charlie Hospital Semarang Tbk PT,Indonesia, 0.27 , -   , 1.31 , 0.77 , 0.30 
BABY.JK,Multitrend Indo Tbk PT,Indonesia, 0.36 , 0.25 , 0.33 , 7.65 , 3.56 
AEGS.JK,Anugerah Spareparts Sejahtera PT Tbk,Indonesia, 0.04 , 0.04 , 0.20 , 0.02 ,
KOCI.JK,Kokoh Exa Nusantara Tbk PT,Indonesia, 0.03 , 0.01 , 0.05 , 0.14 , 1.06 
IOTF.JK,Sumber Sinergi Makmur PT Tbk,Indonesia, 0.13 , 0.11 , 4.90 , 1.60 , 0.82 
STRK.JK,Lovina Beach Brewery Tbk PT,Indonesia, 0.03 , 0.03 ,,,
BREN.JK,Barito Renewables Energy PT Tbk,Indonesia, 2.87 , 3.06 , 4.76 , 1.61 , 1.92 
PTPS.JK,Pulau Subur Tbk PT,Indonesia, 0.01 , 0.01 , 0.07 , 0.08 , 0.12 
LOPI.JK,Logisticsplus International Tbk PT,Indonesia, 0.18 , 0.09 , 0.55 , 1.52 ,
KOKA.JK,Koka Indonesia Tbk PT,Indonesia, 0.02 , 0.01 , 0.08 , 0.11 , 0.20 
UDNG.JK,Agro Bahari Nusantara Tbk PT,Indonesia, 0.02 , 0.00 , -   , -   ,
MSTI.JK,PT Mastersystem Infotama Tbk,Indonesia, 0.05 , 0.11 , 0.10 , 0.21 , 0.15 
IKPM.JK,Ikapharmindo Putramas Tbk PT,Indonesia, 0.69 , 0.61 , 0.82 , 0.71 , 0.95 
RGAS.JK,Kian Santang Muliatama PT Tbk,Indonesia, 0.22 ,,,,
AYAM.JK,JANU PUTRA SEJAHTERA Tbk PT,Indonesia, 0.23 , 0.13 , 0.14 , 0.19 , 3.91 
SURI.JK,Maja Agung Latexindo PT Tbk,Indonesia, 0.00 , -   , -   , 0.08 , 0.31 
ASLI.JK,Asri Karya Lestari Tbk PT,Indonesia, 0.09 , 0.11 , 0.08 , 0.37 , 0.69 
SMLE.JK,Sinergi Multi Lestarindo PT Tbk,Indonesia, 0.65 , 0.96 , 1.37 , 2.11 , 5.55 
MSJA.JK,Multi Spunindo Jaya Tbk PT,Indonesia, 0.17 , 0.38 , 0.28 , 0.35 , 0.36 
CGAS.JK,Citra Nusantara Gemilang Tbk PT,Indonesia, 0.08 , 0.43 , 0.55 , 0.36 , 0.23 
MANG.JK,Manggung Polahraya PT Tbk,Indonesia, 0.20 , 0.31 , 0.39 , 0.29 ,
NICE.JK,Adhi Kartiko Pratama Tbk PT,Indonesia, 0.30 , 0.06 , 0.11 , 0.02 , 0.44 
ACRO.JK,Samcro Hyosung Adilestari PT Tbk,Indonesia, 0.24 , 0.80 , 0.54 , 0.52 , 1.57 
GRPH.JK,Griptha Putra Persada Tbk PT,Indonesia, 0.22 , 0.27 ,,,
SMGA.JK,Sumber Mineral Global Abadi Tbk PT,Indonesia, 0.08 , 0.16 , 0.15 , -   , -   
UNTD.JK,Terang Dunia Internusa Tbk PT,Indonesia, 0.86 , 2.52 , 2.83 , 2.84 ,
ALII.JK,Ancara Logistics Indonesia PT Tbk,Indonesia, 0.25 , 1.75 , 2.83 , 4.93 , 121.84 
MEJA.JK,Pt Harta Djaya Karya Tbk,Indonesia, 0.16 , 0.34 , 1.22 , 1.29 ,
MPIX.JK,Mitra Pedagang Indonesia PT Tbk,Indonesia, 0.02 , 0.04 , 0.09 , 0.35 , 29.08 
TOSK.JK,Topindo Solusi Komunika Tbk PT,Indonesia, 0.23 , 0.50 , 1.96 , -   , -   
MKAP.JK,Multikarya Asia Pasifik Raya Tbk PT,Indonesia, 0.67 , 0.54 , 0.57 , 0.67 , 0.81 
LIVE.JK,Homeco Victoria Makmur PT Tbk,Indonesia, 0.54 , 0.72 , 0.74 , 0.86 , 0.73 
BAIK.JK,Bersama Mencapai Puncak Tbk PT,Indonesia, 0.01 , 0.00 ,,,
HYGN.JK,Ecocare Indo Pasifik PT Tbk,Indonesia, 0.10 , 0.35 , 0.19 , 0.20 , 0.15 
VISI.JK,Satu Visi Putra Tbk PT,Indonesia, 0.40 , 0.45 , 0.48 , 0.63 , 3.69 
AREA.JK,Dunia Virtual Online Tbk PT,Indonesia, 0.21 , 0.31 , -   , -   , -   
ATLA.JK,Atlantis Subsea Indonesia Tbk PT,Indonesia, 0.02 , 0.01 , 0.10 , 0.19 , 0.38 
MHKI.JK,Multi Hanna Kreasindo Tbk PT,Indonesia, 0.01 , 0.01 , 0.01 , 0.01 , 0.46 
DATA.JK,Remala Abadi Tbk PT,Indonesia, 0.13 , 0.25 , 0.02 , 0.22 , 0.60 
SOLA.JK,Xolare RCR Energy PT Tbk,Indonesia, 0.17 , 0.12 , 0.24 , 0.33 , 0.03 
BATR.JK,Benteng Api Technic PT Tbk,Indonesia, 0.28 , 0.25 , 0.37 , 0.49 , 0.38 
SPRE.JK,Soraya Berjaya Indonesia Tbk PT,Indonesia, 0.05 , 0.15 , 0.87 ,,
PART.JK,Pt Cipta Perdana Lancar Tbk,Indonesia, 0.76 , 1.91 , 1.99 , 0.85 ,
BLES.JK,Superior Prima Sukses PT Tbk,Indonesia, 0.44 , 0.64 , 1.21 , 1.05 ,
GUNA.JK,Gunanusa Eramandiri Tbk PT,Indonesia, 0.10 , 0.03 , 0.10 , 0.10 ,
ISEA.JK,PT Indo American Seafoods Tbk,Indonesia, 1.29 , 1.83 , 1.60 , 1.31 ,
GOLF.JK,Pt Intra Golflink Resorts Tbk,Indonesia, 0.06 , 0.00 , 0.00 , 0.00 ,
LABS.JK,PT UBC Medical Indonesia Tbk,Indonesia, 0.20 , 0.46 , 0.41 , 0.12 ,
DOSS.JK,Global Sukses Digital Tbk PT,Indonesia, 0.06 , 0.07 , 0.20 , 0.47 ,
NEST.JK,Pt Esta Indonesia Tbk,Indonesia, -   , 0.12 , -   , -   ,
VERN.JK,Verona Indah Pictures Pt Tbk,Indonesia, -   , 0.06 , 0.08 , 0.11 ,
PTMR.JK,PT Master Print Tbk,Indonesia, 0.26 , 0.49 , 0.55 , 0.15 ,
DAAZ.JK,Daaz Bara Lestari Tbk PT,Indonesia, 0.99 , 1.13 , 0.23 , 0.59 ,
BOAT.JK,Newport Marine Services PT Tbk,Indonesia, 0.43 , 0.92 , 0.92 , 0.92 ,
NAIK.JK,Adiwarna Anugerah Abadi PT Tbk,Indonesia, 0.10 , 0.56 , 1.23 , 0.86 ,
AADI.JK,PT Adaro Andalan Indonesia Tbk,Indonesia, 0.44 , 0.20 , 0.11 , 0.15 ,
MDIY.JK,Daya Intiguna Yasa Tbk PT,Indonesia, 0.71 , 0.61 , 0.28 , 0.25 ,
RATU.JK,Raharja Energi Cepu Tbk PT,Indonesia, 0.80 , 1.02 , 0.25 , 0.23 ,
HGII.JK,Hero Global Investment Tbk PT,Indonesia, 0.29 , 0.46 , 0.60 , 0.70 ,
YOII.JK,Asuransi Digital Bersama Tbk PT,Indonesia, 0.00 , 0.44 , 0.00 , 0.02 ,
DGWG.JK,Delta Giri Wacana Tbk PT,Indonesia, 1.28 , 1.14 , 1.45 , 0.79 ,
KSIX.JK,Kentanix Supra International Tbk PT,Indonesia, 0.00 ,,,,
CBDK.JK,Bangun Kosambi Sukses Pt Tbk,Indonesia, 0.04 , 0.04 , 0.05 , 9.98 ,
OBAT.JK,Brigit Biofarmaka Teknologi Tbk PT,Indonesia, 0.22 , 0.09 , 0.02 , 0.01 ,
BRRC.JK,Raja Roti Cemerlang Tbk PT,Indonesia, 0.73 , 0.45 , 0.49 , 0.07 ,
KAQI.JK,Jantra Grupo Indonesia PT Tbk,Indonesia, 0.19 , 0.18 , 2.26 , -   ,
MINE.JK,Sinar Terang Mandiri PT Tbk,Indonesia, 0.88 , 0.60 , 1.44 , 5.08 ,
YUPI.JK,Yupi Indo Jelly Gum Tbk PT,Indonesia, 0.04 , 0.09 , 0.16 ,,
MDLA.JK,Medela Potentia Tbk PT,Indonesia, 0.09 , 0.22 , 0.09 ,,
FORE.JK,Fore Kopi Indonesia PT Tbk,Indonesia, 0.86 , 2.03 ,,,
DKHH.JK,Cipta Sarana Medika Tbk PT,Indonesia, 0.88 , 1.12 , 1.83 ,,
ASPR.JK,Asia Pramulia Tbk PT,Indonesia, 1.65 , 1.08 , 1.04 ,,
BLOG.JK,Trimitra Trans Persada Tbk PT,Indonesia, 0.60 , 0.48 , 0.68 ,,
COIN.JK,Indokripto Koin Semesta Tbk PT,Indonesia, 0.17 , 1.36 , -   ,,
PSAT.JK,Pancaran Samudera Transport Tbk PT,Indonesia, 0.17 , 0.04 , 0.01 ,,
CDIA.JK,Chandra Daya Investasi Tbk PT,Indonesia, 0.39 , 0.29 ,,,
CHEK.JK,Diastika Biotekindo Tbk PT,Indonesia, 0.01 , 0.01 , 0.00 ,,
MERI.JK,Merry Riana Edukasi Tbk PT,Indonesia, 0.04 , -   , -   ,,
PMUI.JK,Prima Multi Usaha Indonesia Tbk PT,Indonesia, -   , -   , 0.46 ,,
EMAS.JK,Merdeka Gold Resources PT Tbk,Indonesia, 0.73 , 0.95 , 0.20 ,,
PJHB.JK,Pelayaran Jaya Hidup Baru Tbk PT,Indonesia, 0.01 , 0.01 , 0.04 ,,
RLCO.JK,Abadi Lestari Indonesia PT Tbk,Indonesia, 7.41 , 10.14 , 14.33 ,,
SUPA.JK,Super Bank Indonesia Tbk PT,Indonesia, 0.10 , 0.00 , 0.00 ,,
